book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang,image
620,11,6,2004,328,5,43,2002,7,5,2
592,143,10,1673,540,2,29,2001,138,1,0
187,165,1,1407,413,9,10,2008,96,4,2
1233,46,9,140,408,10,32,2006,184,4,0
1921,82,2,903,408,6,38,2009,31,4,2
1643,131,3,1527,439,2,30,2016,65,7,1
2779,223,2,1674,243,3,45,2011,85,3,1
2954,175,5,932,631,8,34,2008,127,5,0
1738,211,9,1843,306,7,45,2014,4,1,0
2808,206,2,815,338,1,41,2004,154,3,0
1782,358,7,27,196,4,36,2004,159,6,0
2939,98,7,2468,257,7,37,2016,194,3,1
2852,150,6,222,674,7,49,2005,93,3,1
1080,36,8,2858,128,5,40,2007,108,7,0
2536,186,3,630,141,6,41,2006,93,3,0
647,347,5,1565,195,2,5,2002,75,5,2
2215,120,5,1267,530,10,38,2003,103,1,0
1225,338,9,168,389,10,21,2012,102,7,2
1748,328,9,2234,130,1,39,2001,115,7,2
1095,129,1,777,226,7,37,2005,31,6,0
2,128,2,2212,93,7,40,2009,138,6,1
2177,403,10,865,303,1,4,2003,151,5,1
2766,190,8,2860,83,3,2,2004,89,7,0
347,149,5,2941,477,7,44,2001,104,4,1
1645,382,6,2134,325,8,30,2004,67,2,1
1236,365,9,405,209,6,34,2014,3,7,1
2229,14,3,1274,284,7,39,2021,101,5,1
839,247,1,1523,188,5,32,2006,86,7,2
1967,275,4,2517,420,9,13,2017,54,2,2
869,358,9,1602,205,1,44,2017,144,3,1
138,12,1,1036,445,9,6,2006,35,1,2
1744,293,2,181,556,10,40,2015,45,7,1
329,157,8,183,123,7,22,2010,193,1,1
2169,202,5,1343,301,4,21,2003,54,3,2
971,227,6,1194,271,1,8,2018,108,1,2
1303,234,8,1143,411,1,19,2015,25,4,0
263,42,6,1642,348,7,46,2019,110,6,2
1482,356,2,80,669,7,21,2012,139,1,1
2406,226,7,2741,320,8,32,2019,134,1,2
642,9,1,303,290,3,33,2002,194,1,1
77,58,8,2101,621,6,9,2017,61,5,1
2463,122,9,1628,193,2,10,2010,2,4,0
672,431,5,201,237,9,10,2005,29,1,1
2914,268,1,75,503,10,34,2003,86,6,0
2438,281,9,764,84,10,14,2009,156,3,2
655,367,4,2554,478,7,35,2008,104,2,0
572,303,5,1945,694,10,37,2014,128,5,0
561,224,7,2860,408,7,12,2016,176,1,1
1122,438,5,261,436,10,16,2006,64,5,2
21,440,5,144,100,9,21,2010,50,1,2
2893,320,8,2653,606,1,22,2009,127,6,0
440,199,7,2322,489,1,12,2008,53,5,2
1701,363,7,470,664,6,3,2000,87,1,1
1345,335,7,538,680,7,34,2021,22,3,2
2786,231,7,1746,394,5,37,2013,68,5,0
309,22,1,2897,236,2,19,2000,164,7,2
949,19,1,2136,597,9,38,2020,76,3,2
2349,318,3,2482,295,4,41,2003,178,1,2
365,257,10,905,550,1,40,2011,47,5,0
887,134,7,1193,540,9,6,2019,97,6,0
2744,169,5,623,265,2,40,2015,199,6,0
220,122,6,2685,307,3,41,2016,31,6,1
1328,376,1,1049,209,9,4,2008,159,2,1
853,377,2,1791,462,1,2,2021,105,5,2
1767,409,7,1442,674,7,31,2011,143,1,0
2505,390,8,2795,111,3,13,2002,6,5,2
393,289,9,1066,684,1,5,2014,69,7,0
1775,70,7,2400,114,7,20,2004,56,3,1
25,41,1,1736,268,9,12,2001,17,7,0
532,381,4,512,606,4,1,2010,103,1,1
2728,116,10,564,691,10,46,2012,11,1,1
874,384,2,786,171,3,30,2003,157,6,2
983,186,5,2907,525,2,48,2014,72,3,2
1502,93,4,1605,103,6,38,2017,187,3,2
755,414,3,2140,460,2,16,2013,34,3,0
704,239,2,1368,584,7,42,2000,198,6,1
1344,181,1,1338,208,9,31,2009,45,6,0
190,183,1,2778,660,8,9,2012,37,2,0
1367,196,1,922,520,6,7,2013,56,3,2
2053,344,9,548,377,5,25,2002,159,7,0
2053,367,8,1018,410,4,24,2015,85,6,1
939,239,10,2998,203,10,19,2018,64,2,0
1194,433,8,534,424,2,11,2001,32,2,1
94,153,7,2868,493,10,17,2006,175,3,1
860,252,2,2057,174,8,34,2010,25,2,1
354,383,4,2959,469,3,38,2004,38,4,0
1430,235,10,1486,250,8,35,2015,131,7,0
38,236,7,2951,191,10,6,2020,63,1,0
2000,276,9,325,282,8,18,2000,127,5,2
1552,364,8,2152,554,1,9,2007,107,4,0
1619,223,1,1527,700,3,41,2008,185,7,2
333,410,8,2146,605,7,15,2021,113,5,1
470,316,5,914,580,1,20,2004,41,2,1
1687,244,9,2980,176,5,48,2010,151,6,0
1472,76,3,1756,505,5,37,2018,160,4,1
912,283,7,1339,607,3,50,2010,47,4,2
555,78,1,2220,679,2,41,2020,147,1,0
2060,251,4,526,360,8,14,2018,113,1,1
728,203,10,1445,409,5,24,2010,61,2,1
498,344,2,243,669,5,47,2000,172,4,2
990,215,4,39,474,4,21,2010,61,5,0
2431,172,6,2195,689,6,11,2020,45,3,1
2931,112,1,1030,539,1,14,2005,114,7,1
153,244,3,842,82,1,14,2006,27,7,1
1333,226,2,270,170,2,29,2009,109,6,0
2722,113,9,956,284,10,2,2010,33,3,0
1199,119,3,1407,432,10,8,2018,125,6,0
660,172,8,1858,279,4,47,2018,108,4,1
1462,419,1,2293,648,8,2,2014,193,4,2
2335,201,3,2042,265,3,44,2016,10,1,2
913,220,5,2970,375,7,33,2021,1,4,1
1025,66,10,1934,556,10,5,2011,60,3,1
1820,206,7,1331,118,7,21,2017,161,7,1
826,208,10,1076,650,5,39,2008,99,5,1
826,175,6,1150,354,2,39,2006,80,2,2
1403,274,7,2494,347,3,34,2007,139,4,2
2287,106,9,644,686,1,27,2014,118,1,0
2342,307,5,1630,207,4,9,2005,128,7,1
418,8,10,1035,454,8,27,2003,6,6,0
118,346,5,319,504,1,31,2010,84,4,2
2341,408,8,987,474,5,9,2011,80,4,0
2278,255,1,1158,571,10,17,2010,146,2,0
2434,434,9,761,688,3,6,2008,79,2,1
1394,6,5,2186,334,1,22,2005,200,1,0
1290,287,9,1702,417,4,27,2007,31,6,1
1065,76,6,1355,351,8,28,2013,62,1,1
1684,96,4,1035,335,5,31,2020,23,3,1
1837,370,3,220,320,10,1,2008,156,6,0
1022,26,6,1389,307,3,22,2008,142,3,0
1909,38,7,2487,414,10,38,2018,94,3,2
1777,351,5,262,237,5,2,2011,103,2,2
1932,295,5,2051,291,9,37,2007,16,6,0
583,249,2,197,586,4,28,2008,88,5,0
2880,44,9,964,341,3,34,2011,131,2,2
2267,417,5,1169,678,10,2,2020,92,3,1
1204,438,1,110,312,6,18,2021,185,1,2
744,285,1,1798,460,10,12,2011,73,6,0
2686,88,9,284,643,4,22,2010,36,4,2
754,133,9,1779,231,4,2,2005,156,5,2
366,401,4,2709,529,3,34,2006,62,5,1
486,268,6,2854,539,10,42,2000,175,7,2
1620,379,3,1411,645,10,3,2002,109,3,2
1025,297,9,2277,496,2,2,2003,150,7,0
983,293,7,2390,615,3,34,2009,36,7,2
2236,100,9,2693,171,1,31,2013,12,4,1
1325,143,9,1312,375,6,22,2001,49,2,1
1229,227,7,588,379,5,27,2001,86,2,0
2935,314,3,2138,583,6,34,2012,31,5,1
1911,70,4,1581,606,5,25,2015,78,7,2
1098,14,9,1064,349,7,29,2001,43,6,1
1436,4,5,575,183,2,17,2006,141,3,2
1804,167,7,849,622,2,25,2009,9,2,2
2180,414,3,2869,274,1,34,2002,110,5,2
1011,340,2,1730,587,2,17,2018,161,2,1
2954,359,10,2866,698,1,28,2021,13,3,1
887,416,3,1343,533,10,13,2021,138,3,1
463,51,7,1324,394,9,47,2010,105,7,0
1337,386,2,1192,416,6,13,2006,102,7,2
2037,282,8,903,661,4,14,2008,80,2,1
944,93,6,394,380,3,36,2006,88,3,2
991,109,5,2661,269,1,7,2015,46,2,2
1397,349,4,2442,664,5,11,2008,66,2,1
82,307,2,373,615,3,28,2005,87,2,2
792,6,1,2772,504,3,37,2015,70,4,1
2085,416,10,2680,597,3,42,2016,109,2,1
2200,359,7,1109,584,8,4,2007,155,7,2
1192,153,3,820,632,3,41,2020,174,4,2
2918,261,4,1992,428,6,42,2016,147,1,0
1690,341,9,1261,412,4,31,2007,157,2,2
626,115,2,688,494,3,24,2005,88,1,1
2941,1,9,197,220,5,20,2000,187,2,2
2912,42,8,2689,678,6,26,2018,55,7,1
1999,13,3,2567,279,8,19,2013,85,1,1
1565,93,2,424,588,9,47,2016,136,7,2
2580,121,1,1221,626,3,10,2016,146,6,0
162,130,1,1995,573,7,43,2020,4,4,1
795,158,7,2910,396,4,6,2016,103,1,1
987,78,8,286,670,3,27,2006,150,1,2
1290,408,5,2732,467,6,32,2021,102,2,0
1852,287,7,2886,166,7,18,2006,43,2,0
1373,162,3,2619,150,3,13,2005,37,1,1
1477,44,2,1802,373,4,15,2002,5,7,1
2368,81,2,1980,368,5,3,2001,2,5,0
2599,419,9,919,351,4,20,2015,24,4,0
1900,258,5,994,336,9,2,2000,114,7,2
2536,51,2,2418,443,5,23,2005,61,2,0
40,268,8,217,605,1,6,2007,58,4,1
2790,17,3,2794,360,9,39,2000,76,4,1
2232,384,8,165,650,6,50,2002,141,2,2
764,387,3,773,386,8,29,2016,103,1,1
